"Team","Scoring Offense_Games","Scoring Offense_Goals","Scoring_Off","Scoring Defense_Games","Scoring Defense_Goals Allowed","Scoring_Def","Face-Off Winning Percentage_Games","Face-Off Winning Percentage_FOs Won","Face-Off Winning Percentage_FOs Lost","Face-Off Winning Percentage_TM FOT","FO_Pct","Man-Up Offense_Games","Man-Up Offense_EMO Goals","ManUp_Att","ManUp_Pct","Man-Down Defense_Games","ManDown_GA","Man-Down Defense_OPP ATT","ManDown_Pct","Win_W","Win_L","Win_Pct","Scoring Margin_Games","Scoring Margin_Goals","Scoring Margin_Goals Allowed","Margin","Assists Per Game_Games","Assists Per Game_Assists","Ast_Per_Game","Saves Per Game_Games","Saves Per Game_Saves","Saves Per Game_Per Game","Points Per Game_Games","Points Per Game_Goals","Points Per Game_Assists","Points Per Game_Points","Points Per Game_Per Game","Ground Balls Per Game_Games","Ground Balls Per Game_Ground Balls","GB_Per_Game","Turnovers Per Game_Games","Turnovers Per Game_TO","TO_Per_Game","Caused Turnovers Per Game_Games","Caused Turnovers Per Game_CT","CTO_Per_Game","Shot Percentage_Games","Shot Percentage_Goals","Shot Percentage_Shots","Shot_Pct","Clearing Percentage_Games","Clearing Percentage_Clears","Clearing Percentage_Att","Clear_Pct","Season","Scraped_Date","Goalie_Saves","Goalie_GA","Goalie_SV_Pct","USILA_Rank","IL_Rank","RPI_Rank","RPI_Value","Conference","Games_Played","SOS","SOS_High","SOS_Low","SOS_Rank","Off_Rating","Def_Rating","Spc_Rating","Power_Rating","Conf_Adj","Pace","Power_Rank","Model_ID","Model_Name","Ratings_Date"
"Air Force",7,61,8.71,7,108,15.43,7,76,111,187,0.406,7,6,17,0.353,7,6,18,0.667,1,6,0.143,7,61,108,-6.71,7,34,4.86,7,67,9.57,7,61,34,95,13.57,7,190,27.14,7,109,15.57,7,58,8.29,7,61,253,0.241,7,112,145,0.772,2026,2026-03-16,59,85,0.4097,NA,NA,33,NA,"SoCon",7,5.447,12.01,-0.55,1,-5.54,-9.39,-6.14,-9,-1.2117,12.07,72,"v5","Margin of Victory","2026-03-16"
"Army West Point",7,88,12.57,7,56,8,7,82,85,167,0.491,7,4,15,0.267,7,4,20,0.8,6,1,0.857,7,88,56,4.57,7,48,6.86,7,92,13.14,7,88,48,136,19.43,7,215,30.71,7,106,15.14,7,69,9.86,7,88,318,0.277,7,150,171,0.877,2026,2026-03-16,85,52,0.6204,8,16,8,NA,"Patriot League",8,1.404,6.41,-7.99,24,2.73,6.75,-0.87,5.02,0.2916,10.29,13,"v5","Margin of Victory","2026-03-16"
"Bellarmine",9,99,11,9,129,14.33,9,95,160,255,0.373,9,13,26,0.5,9,16,32,0.5,4,5,0.444,9,99,129,-3.33,9,56,6.22,9,139,15.44,9,99,56,155,17.22,9,246,27.33,9,178,19.78,9,61,6.78,9,99,289,0.343,9,180,227,0.793,2026,2026-03-16,125,109,0.5342,NA,NA,26,NA,"ASUN",10,2.093,12.01,-6.59,16,-0.63,-7,-8.18,-3.48,0.1459,12.66,60,"v5","Margin of Victory","2026-03-16"
"Binghamton",6,47,7.83,6,58,9.67,6,58,68,126,0.46,6,4,19,0.211,6,3,21,0.857,1,5,0.167,6,47,58,-1.83,6,20,3.33,6,87,14.5,6,47,20,67,11.17,6,148,24.67,6,102,17,6,43,7.17,6,47,234,0.201,6,111,130,0.854,2026,2026-03-16,87,58,0.6,NA,NA,60,NA,"America East",7,-0.093,4,-2.9,43,-7.43,3.12,-2.79,-2.65,-0.3685,8.75,54,"v5","Margin of Victory","2026-03-16"
"Boston U.",6,82,13.67,6,64,10.67,6,87,76,163,0.534,6,10,20,0.5,6,7,20,0.65,4,2,0.667,6,82,64,3,6,53,8.83,6,70,11.67,6,82,53,135,22.5,6,225,37.5,6,100,16.67,6,86,14.33,6,82,275,0.298,6,130,152,0.855,2026,2026-03-16,63,60,0.5122,NA,NA,5,NA,"Patriot League",7,2.231,7.68,-2.77,13,5.09,0.95,1.79,3.38,0.2916,12.17,16,"v5","Margin of Victory","2026-03-16"
"Brown",5,50,10,5,51,10.2,5,64,51,115,0.557,5,5,13,0.385,5,4,19,0.789,3,2,0.6,5,50,51,-0.2,5,27,5.4,5,72,14.4,5,50,27,77,15.4,5,148,29.6,5,77,15.4,5,36,7.2,5,50,192,0.26,5,89,106,0.84,2026,2026-03-16,68,49,0.5812,NA,NA,25,NA,"Ivy League",6,1.208,8.17,-3.66,27,-2.78,1.97,3.22,0.19,0.4098,10.1,34,"v5","Margin of Victory","2026-03-16"
"Bryant",5,48,9.6,5,60,12,5,62,64,126,0.492,5,4,20,0.2,5,9,21,0.571,2,3,0.4,5,48,60,-2.4,5,27,5.4,5,63,12.6,5,48,27,75,15,5,156,31.2,5,87,17.4,5,47,9.4,5,48,203,0.236,5,96,115,0.835,2026,2026-03-16,63,54,0.5385,NA,NA,74,NA,"America East",6,-2.757,1.14,-6.81,71,-3.63,-1.94,-0.81,-3.25,-0.3685,10.8,56,"v5","Margin of Victory","2026-03-16"
"Bucknell",7,89,12.71,7,71,10.14,7,103,80,183,0.563,7,7,19,0.368,7,11,22,0.5,5,2,0.714,7,89,71,2.57,7,57,8.14,7,54,7.71,7,89,57,146,20.86,7,231,33,7,104,14.86,7,58,8.29,7,89,301,0.296,7,134,157,0.854,2026,2026-03-16,NA,NA,0.513708955223881,NA,NA,40,NA,"Patriot League",8,-1.951,2.57,-10.59,58,3.04,2.1,3.59,2.92,0.2916,11.43,20,"v5","Margin of Victory","2026-03-16"
"Canisius",7,61,8.71,7,70,10,7,92,60,152,0.605,7,8,26,0.308,7,9,22,0.591,2,5,0.286,7,61,70,-1.29,7,33,4.71,7,63,9,7,61,33,94,13.43,7,230,32.86,7,159,22.71,7,68,9.71,7,61,234,0.261,7,109,151,0.722,2026,2026-03-16,NA,NA,0.513708955223881,NA,NA,72,NA,"MAAC",8,-4.182,0.75,-10.59,75,-5.54,2.41,6.19,-2.61,-0.7271,9.36,53,"v5","Margin of Victory","2026-03-16"
"Cleveland St.",6,47,7.83,6,76,12.67,6,61,82,143,0.427,6,8,16,0.5,6,6,18,0.667,2,4,0.333,6,47,76,-4.83,6,26,4.33,6,70,11.67,6,47,26,73,12.17,6,158,26.33,6,112,18.67,6,50,8.33,6,47,203,0.232,6,108,140,0.771,2026,2026-03-16,58,59,0.4957,NA,NA,51,NA,"Horizon League",7,1.482,8.46,-2.91,21,-7.43,-3.39,-4.84,-7.45,-1.5012,10.25,70,"v5","Margin of Victory","2026-03-16"
